POINT_X,POINT_Y,Northing,Easting,CellName,Temp_Label,region_n_1,Shape_Leng,Shape_Area,Region,ID,Abbrev
-122.25805407100,37.87304742180,"56","56","N-56 , E-56",LED-602,Region 3,8029.80919877000,1499134.53181999992,Region 3,LED-602,LED
-122.25758690500,37.87305804520,"56","57","N-56 , E-57",LED-817,Region 2,4932.63260294000,808698.78231699998,Region 2,LED-817,LED
-122.25758690500,37.87305804520,"56","57","N-56 , E-57",LED-817,Region 2,4932.63260294000,808698.78231699998,Region 2,LED-817,LED
-122.26417394100,37.87296500340,"56","38","N-56 , E-38",LED-946,Region 5,8503.75566012000,1800889.11036999989,Region 5,LED-946,LED
-122.26417394100,37.87296500340,"56","38","N-56 , E-38",LED-946,Region 5,8503.75566012000,1800889.11036999989,Region 5,LED-946,LED
-122.25866610300,37.87304837050,"56","54","N-56 , E-54",LED-607,Region 3,8029.80919877000,1499134.53181999992,Region 3,LED-607,LED
-122.25866610300,37.87304837050,"56","54","N-56 , E-54",LED-607,Region 3,8029.80919877000,1499134.53181999992,Region 3,LED-607,LED
-122.26449940000,37.87296315530,"56","37","N-56 , E-37",LED-906,Region 5,8503.75566012000,1800889.11036999989,Region 5,LED-906,LED
-122.26449940000,37.87296315530,"56","37","N-56 , E-37",LED-906,Region 5,8503.75566012000,1800889.11036999989,Region 5,LED-906,LED
-122.26587534900,37.87294667240,"56","33","N-56 , E-33",LED-721,Region 5,8503.75566012000,1800889.11036999989,Region 5,LED-721,LED
-122.26587534900,37.87294667240,"56","33","N-56 , E-33",LED-721,Region 5,8503.75566012000,1800889.11036999989,Region 5,LED-721,LED
-122.26396296900,37.87297625950,"56","39","N-56 , E-39",LED-1099,Region 5,8503.75566012000,1800889.11036999989,Region 5,LED-1099,LED
-122.26396296900,37.87297625950,"56","39","N-56 , E-39",LED-1099,Region 5,8503.75566012000,1800889.11036999989,Region 5,LED-1099,LED
-122.26379312900,37.87298501980,"56","39","N-56 , E-39",LED-20,Region 5,8503.75566012000,1800889.11036999989,Region 5,LED-20,LED
-122.26379312900,37.87298501980,"56","39","N-56 , E-39",LED-20,Region 5,8503.75566012000,1800889.11036999989,Region 5,LED-20,LED
-122.26430415900,37.87298291540,"56","38","N-56 , E-38",LED-917,Region 5,8503.75566012000,1800889.11036999989,Region 5,LED-917,LED
-122.26430415900,37.87298291540,"56","38","N-56 , E-38",LED-917,Region 5,8503.75566012000,1800889.11036999989,Region 5,LED-917,LED
-122.26045813900,37.87304547780,"56","49","N-56 , E-49",LED-685,Region 3,8029.80919877000,1499134.53181999992,Region 3,LED-685,LED
-122.26045813900,37.87304547780,"56","49","N-56 , E-49",LED-685,Region 3,8029.80919877000,1499134.53181999992,Region 3,LED-685,LED
-122.26032356600,37.87304797040,"56","49","N-56 , E-49",LED-683,Region 3,8029.80919877000,1499134.53181999992,Region 3,LED-683,LED
-122.26032356600,37.87304797040,"56","49","N-56 , E-49",LED-683,Region 3,8029.80919877000,1499134.53181999992,Region 3,LED-683,LED
-122.25685479700,37.87310754930,"56","59","N-56 , E-59",LED-197,Region 2,4932.63260294000,808698.78231699998,Region 2,LED-197,LED
-122.25685479700,37.87310754930,"56","59","N-56 , E-59",LED-197,Region 2,4932.63260294000,808698.78231699998,Region 2,LED-197,LED
-122.26064333700,37.87306204220,"56","49","N-56 , E-49",LED-686,Region 3,8029.80919877000,1499134.53181999992,Region 3,LED-686,LED
-122.26064333700,37.87306204220,"56","49","N-56 , E-49",LED-686,Region 3,8029.80919877000,1499134.53181999992,Region 3,LED-686,LED
-122.25740235700,37.87312206960,"56","58","N-56 , E-58",LED-158,Region 2,4932.63260294000,808698.78231699998,Region 2,LED-158,LED
-122.25740235700,37.87312206960,"56","58","N-56 , E-58",LED-158,Region 2,4932.63260294000,808698.78231699998,Region 2,LED-158,LED
-122.26084458100,37.87307189130,"56","48","N-56 , E-48",LED-696,Region 3,8029.80919877000,1499134.53181999992,Region 3,LED-696,LED
-122.26084458100,37.87307189130,"56","48","N-56 , E-48",LED-696,Region 3,8029.80919877000,1499134.53181999992,Region 3,LED-696,LED
-122.26092919000,37.87308243810,"56","48","N-56 , E-48",LED-698,Region 3,8029.80919877000,1499134.53181999992,Region 3,LED-698,LED
-122.26092919000,37.87308243810,"56","48","N-56 , E-48",LED-698,Region 3,8029.80919877000,1499134.53181999992,Region 3,LED-698,LED
-122.25668981500,37.87314995350,"56","60","N-56 , E-60",LED-170,Region 2,4932.63260294000,808698.78231699998,Region 2,LED-170,LED
-122.25668981500,37.87314995350,"56","60","N-56 , E-60",LED-170,Region 2,4932.63260294000,808698.78231699998,Region 2,LED-170,LED
-122.25721063300,37.87316024870,"56","58","N-56 , E-58",LED-160,Region 2,4932.63260294000,808698.78231699998,Region 2,LED-160,LED
-122.25721063300,37.87316024870,"56","58","N-56 , E-58",LED-160,Region 2,4932.63260294000,808698.78231699998,Region 2,LED-160,LED
-122.26147249900,37.87309814650,"56","46","N-56 , E-46",LED-675,Region 5,8503.75566012000,1800889.11036999989,Region 5,LED-675,LED
-122.26147249900,37.87309814650,"56","46","N-56 , E-46",LED-675,Region 5,8503.75566012000,1800889.11036999989,Region 5,LED-675,LED
-122.26370226200,37.87306934110,"56","40","N-56 , E-40",LED-947,Region 5,8503.75566012000,1800889.11036999989,Region 5,LED-947,LED
-122.26370226200,37.87306934110,"56","40","N-56 , E-40",LED-947,Region 5,8503.75566012000,1800889.11036999989,Region 5,LED-947,LED
-122.26465932400,37.87306784090,"56","37","N-56 , E-37",LED-903,Region 5,8503.75566012000,1800889.11036999989,Region 5,LED-903,LED
-122.26465932400,37.87306784090,"56","37","N-56 , E-37",LED-903,Region 5,8503.75566012000,1800889.11036999989,Region 5,LED-903,LED
-122.26189506500,37.87310917430,"56","45","N-56 , E-45",LED-944,Region 5,8503.75566012000,1800889.11036999989,Region 5,LED-944,LED
-122.26189506500,37.87310917430,"56","45","N-56 , E-45",LED-944,Region 5,8503.75566012000,1800889.11036999989,Region 5,LED-944,LED
-122.26217381300,37.87310513610,"56","44","N-56 , E-44",HS-3,Region 5,8503.75566012000,1800889.11036999989,Region 5,HS-3,HS
-122.26217381300,37.87310513610,"56","44","N-56 , E-44",HS-3,Region 5,8503.75566012000,1800889.11036999989,Region 5,HS-3,HS
-122.26488380000,37.87306997860,"56","36","N-56 , E-36",LED-899,Region 5,8503.75566012000,1800889.11036999989,Region 5,LED-899,LED
-122.26488380000,37.87306997860,"56","36","N-56 , E-36",LED-899,Region 5,8503.75566012000,1800889.11036999989,Region 5,LED-899,LED
-122.26315170200,37.87310583350,"56","41","N-56 , E-41",LED-636,Region 5,8503.75566012000,1800889.11036999989,Region 5,LED-636,LED
-122.26315170200,37.87310583350,"56","41","N-56 , E-41",LED-636,Region 5,8503.75566012000,1800889.11036999989,Region 5,LED-636,LED
-122.25498245800,37.87323981580,"56","65","N-56 , E-65",HS-10,Region 2,4932.63260294000,808698.78231699998,Region 2,HS-10,HS
-122.25498245800,37.87323981580,"56","65","N-56 , E-65",HS-10,Region 2,4932.63260294000,808698.78231699998,Region 2,HS-10,HS
-122.26588902100,37.87307961680,"56","33","N-56 , E-33",LED-724,Region 5,8503.75566012000,1800889.11036999989,Region 5,LED-724,LED
-122.26588902100,37.87307961680,"56","33","N-56 , E-33",LED-724,Region 5,8503.75566012000,1800889.11036999989,Region 5,LED-724,LED
-122.25791125000,37.87320136430,"56","56","N-56 , E-56",LED-598,Region 3,8029.80919877000,1499134.53181999992,Region 3,LED-598,LED
-122.25791125000,37.87320136430,"56","56","N-56 , E-56",LED-598,Region 3,8029.80919877000,1499134.53181999992,Region 3,LED-598,LED
-122.25691322800,37.87323249920,"56","59","N-56 , E-59",LED-198,Region 2,4932.63260294000,808698.78231699998,Region 2,LED-198,LED
-122.25691322800,37.87323249920,"56","59","N-56 , E-59",LED-198,Region 2,4932.63260294000,808698.78231699998,Region 2,LED-198,LED
